FIGHTER_ID,FIGHTER_NAME,FIGHTER_NICKNAME
5130,"Derrick Lewis","The Black Beast"
5131,"Chris Daukaus",
5132,"Stephen Thompson",Wonderboy
5133,"Belal Muhammad","Remember the Name"
5134,"Amanda Lemos",
5135,"Angela Hill",Overkill
5136,"Raphael Assuncao",
5137,"Ricky Simon",
5138,"Diego Ferreira",
5139,"Mateusz Gamrot",Gamer
5140,"Cub Swanson",
5141,"Darren Elkins","The Damage"
5142,"Dustin Stoltzfus",
5143,"Gerald Meerschaert",GM3
5144,"Justin Tafa","Bad Man"
5145,"Harry Hunsucker","The Hurricane"
5146,"Sijara Eubanks",SarJ
5147,"Melissa Gatto",
5148,"Charles Jourdain",Air
5149,"Andre Ewell","Mr. Highlight"
5150,"Raquel Pennington",Rocky
5151,"Macy Chiasson",
5152,"Don&#039;Tale Mayes","Lord Kong"
5153,"Josh Parisian",
5154,"Jordan Leavitt","The Monkey King"
5155,"Matt Sayles",
5156,"Charles Oliveira","Do Bronx"
5157,"Dustin Poirier","The Diamond"
5158,"Amanda Nunes","The Lioness"
5159,"Julianna Pena","The Venezuelan Vixen"
5160,"Geoff Neal","Handz of Steel"
5161,"Santiago Ponzinibbio","Argentine Dagger"
5162,"Kai Kara-France","Don&#039;t Blink"
5163,"Cody Garbrandt","No Love"
5164,"Raulian Paiva",
5165,"Sean O&#039;Malley",Sugar
5166,"Josh Emmett",
5167,"Dan Ige",50K
5168,"Pedro Munhoz","The Young Punisher"
5169,"Dominick Cruz","The Dominator"
5170,"Augusto Sakai",
5171,"Tai Tuivasa","Bam Bam"
5172,"Jordan Wright","The Beverly Hills Ninja"
5173,"Bruno Silva",Blindado
5174,"Andre Muniz",Sergipano
5175,"Eryk Anders","Ya Boi"
5176,"Miranda Maverick","Fear The"
5177,"Erin Blanchfield","Cold Blooded"
5178,"Ryan Hall","The Wizard"
5179,"Darrick Minner",
5180,"Randy Costa","The Zohan"
5181,"Tony Kelley",Primetime
5182,"Gillian Robertson","The Savage"
5183,"Priscila Cachoeira","Zombie Girl"
5184,"Rob Font",
5185,"Jose Aldo",
5186,"Brad Riddell",Quake
5187,"Rafael Fiziev",Ataman
5188,"Jimmy Crute",
5189,"Jamahal Hill","Sweet Dreams"
5190,"Clay Guida","The Carpenter"
5191,"Leonardo Santos",
5192,"Brendan Allen","All In"
5193,"Chris Curtis",Action-Man
5194,"Alex Morono","The Great White"
5195,"Mickey Gall",
5196,"Maki Pitolo","Coconut Bombz"
5197,"Dusko Todorovic",Thunder
5198,"Manel Kape",StarBoy
5199,"Zhalgas Zhumagulov",
