,Nombres,Categoría,Record
0,ZARRUKH ADASHEV,Flyweight,4-3-0 (W-L-D)
1,AMIR ALBAZI,Flyweight,14-1-0 (W-L-D)
2,VICTOR ALTAMIRANO,Flyweight,1-1-0 (W-L-D)
3,JAIME ALVAREZ,Flyweight,7-1-0 (W-L-D)
4,JUAN ANDRES LUNA,Flyweight,0-0-0 (W-L-D)
5,ADAM ANTOLIN,Flyweight,13-3-0 (W-L-D)
6,ARMAN ASHIMOV,Flyweight,0-0-0 (W-L-D)
7,ASKAR ASKAROV,Flyweight,14-1-1 (W-L-D)
8,ALI BAGAUTINOV,Flyweight,14-5-0 (W-L-D)
9,DANIEL BAREZ,Flyweight,0-1-0 (W-L-D)
10,CHRIS BEAL,Flyweight,10-3-0 (W-L-D)
11,MARCO BELTRAN,Flyweight,8-7-0 (W-L-D)
12,JOSEPH BENAVIDEZ,Flyweight,28-8-0 (W-L-D)
13,RYAN BENOIT,Flyweight,10-8-0 (W-L-D)
14,MAGOMED BIBULATOV,Flyweight,14-2-0 (W-L-D)
15,DENYS BONDAR,Flyweight,16-4-0 (W-L-D)
16,ROGERIO BONTORIN,Flyweight,17-4-0 (W-L-D)
17,JARRED BROOKS,Flyweight,14-2-0 (W-L-D)
18,RICKY CALATAYUD,Flyweight,0-0-0 (W-L-D)
19,WILL CAMPUZANO,Flyweight,13-6-0 (W-L-D)
20,CHICO CAMUS,Flyweight,14-7-0 (W-L-D)
21,CARLOS CANDELARIO,Flyweight,8-1-0 (W-L-D)
22,RONALDO CANDIDO,Flyweight,5-2-0 (W-L-D)
23,CHRIS CARIASO,Flyweight,17-8-0 (W-L-D)
24,CLAYTON CARPENTER,Flyweight,0-0-0 (W-L-D)
25,ALESSANDRO COSTA,Flyweight,0-0-0 (W-L-D)
26,EMILIO CUELLAR,Flyweight,0-0-0 (W-L-D)
27,SANTO CURATOLO,Flyweight,0-1-0 (W-L-D)
28,RAFAEL DE FREITAS,Flyweight,0-0-0 (W-L-D)
29,CARLS JOHN DE TOMAS,Flyweight,8-2-0 (W-L-D)
30,OLEKSANDR DOSKALCHUK,Flyweight,10-2-0 (W-L-D)
31,CODY DURDEN,Flyweight,12-4-1 (W-L-D)
32,RILEY DUTRO,Flyweight,14-4-0 (W-L-D)
33,DAVID DVORAK,Flyweight,20-4-0 (W-L-D)
34,TIM ELLIOTT,Flyweight,19-12-1 (W-L-D)
35,STEVEN ERCZEG,Flyweight,0-0-0 (W-L-D)
36,JORDAN ESPINOSA,Flyweight,15-9-0 (W-L-D)
37,JOSH FERGUSON,Flyweight,7-5-0 (W-L-D)
38,ERISSON FERREIRA DA SILVA,Flyweight,0-0-0 (W-L-D)
39,DEIVESON FIGUEIREDO,Flyweight,21-2-1 (W-L-D)
40,FRANCISCO FIGUEIREDO,Flyweight,12-4-1 (W-L-D)
41,JIMMY FLICK,Flyweight,16-5-0 (W-L-D)
42,JUSSIER FORMIGA,Flyweight,23-8-0 (W-L-D)
43,KAI KARA FRANCE,Flyweight,24-9-0 (W-L-D)
44,GUSTAVO GABRIEL,Flyweight,0-0-0 (W-L-D)
45,CODY GARBRANDT,Flyweight,12-5-0 (W-L-D)
46,ELIAS GARCIA,Flyweight,6-2-0 (W-L-D)
47,AZAMAT GASHIMOV,Flyweight,10-3-0 (W-L-D)
48,WILLIE GATES,Flyweight,12-7-0 (W-L-D)
49,LOUIS GAUDINOT,Flyweight,6-4-0 (W-L-D)
50,ULYSSES GOMEZ,Flyweight,9-4-0 (W-L-D)
51,MALCOLM GORDON,Flyweight,14-5-0 (W-L-D)
52,KEVIN GRAY,Flyweight,9-4-0 (W-L-D)
53,JAKE HADLEY,Flyweight,0-0-0 (W-L-D)
54,CJ HAMILTON,Flyweight,11-5-0 (W-L-D)
55,PHIL HARRIS,Flyweight,22-12-0 (W-L-D)
56,CARLOS HERNANDEZ,Flyweight,8-1-0 (W-L-D)
57,GEANE HERRERA,Flyweight,9-3-0 (W-L-D)
58,PADDY HOLOHAN,Flyweight,12-2-1 (W-L-D)
59,KYOJI HORIGUCHI,Flyweight,18-2-0 (W-L-D)
60,SHANE HOWELL,Flyweight,13-9-0 (W-L-D)
61,NAOKI INOUE,Flyweight,11-0-0 (W-L-D)
62,ALVARO IVAN LOPEZ RODRIGUES,Flyweight,0-0-0 (W-L-D)
63,DEMETRIOUS JOHNSON,Flyweight,27-3-1 (W-L-D)
64,CHARLES JOHNSON,Flyweight,0-0-0 (W-L-D)
65,MANEL KAPE,Flyweight,17-6-0 (W-L-D)
66,CHRIS KELADES,Flyweight,9-3-0 (W-L-D)
67,BRUNO KOREA,Flyweight,4-3-0 (W-L-D)
68,DANIEL LACERDA,Flyweight,11-2-0 (W-L-D)
69,JENEL LAUSA,Flyweight,7-4-0 (W-L-D)
70,QIU LUN,Flyweight,0-0-0 (W-L-D)
71,ZACH MAKOVSKY,Flyweight,19-8-0 (W-L-D)
72,GARY MANGAT,Flyweight,0-0-0 (W-L-D)
73,JOSE MARIA,Flyweight,33-5-0 (W-L-D)
74,DANNY MARTINEZ,Flyweight,18-7-0 (W-L-D)
75,TATEKI MATSUDA,Flyweight,10-7-0 (W-L-D)
76,IAN MCCALL,Flyweight,13-5-1 (W-L-D)
77,PIETRO MENGA,Flyweight,13-0-0 (W-L-D)
78,MUHAMMAD MOKAEV,Flyweight,7-0-0 (W-L-D)
79,ASHKAN MOKHTARIAN,Flyweight,13-3-0 (W-L-D)
80,JEFFREY MOLINA,Flyweight,10-2-0 (W-L-D)
81,DARRELL MONTAGUE,Flyweight,13-5-0 (W-L-D)
82,JOHN MORAGA,Flyweight,19-7-0 (W-L-D)
83,JOSEPH MORALES,Flyweight,9-2-0 (W-L-D)
84,BRANDON MORENO,Flyweight,19-6-2 (W-L-D)
85,TYSON NAM,Flyweight,20-12-1 (W-L-D)
86,ALLAN NASCIMENTO,Flyweight,17-6-0 (W-L-D)
87,BEN NGUYEN,Flyweight,17-8-0 (W-L-D)
88,MATHEUS NICOLAU,Flyweight,18-3-1 (W-L-D)
89,DUSTIN ORTIZ,Flyweight,19-8-0 (W-L-D)
90,ODE' OSBOURNE,Flyweight,10-4-0 (W-L-D)
91,ALPTEKIN OZKILIC,Flyweight,9-3-0 (W-L-D)
92,ALEXANDRE PANTOJA,Flyweight,24-5-0 (W-L-D)
