,Name,Category,Record,Style
0,JUAN ADAMS,Heavyweight,5-3-0 (W-L-D),MMA
1,ZARRUKH ADASHEV,Flyweight,4-3-0 (W-L-D),MMA
2,KEVIN AGUILAR,Featherweight,17-5-0 (W-L-D),MMA
3,BILL ALGEO,Featherweight,15-6-0 (W-L-D),MMA
4,ARNOLD ALLEN,Featherweight,18-1-0 (W-L-D),MMA
5,BRENDAN ALLEN,Middleweight,18-5-0 (W-L-D),MMA
6,RAFAEL ALVES,Lightweight,20-10-0 (W-L-D),MMA
7,SAM ALVEY,Light Heavyweight,33-17-1 (W-L-D),MMA
8,ALEN AMEDOVSKI,Middleweight,8-2-0 (W-L-D),MMA
9,ERYK ANDERS,Middleweight,14-5-0 (W-L-D),MMA
10,MEGAN ANDERSON,Women's Featherweight,11-5-0 (W-L-D),MMA
11,MAGOMED ANKALAEV,Light Heavyweight,17-1-0 (W-L-D),MMA
12,VIVIANE ARAUJO,Women's Flyweight,10-3-0 (W-L-D),MMA
13,ASKAR ASKAR,Featherweight,11-1-0 (W-L-D),MMA
14,BEN ASKREN,Welterweight,19-2-0 (W-L-D),MMA
15,HUNTER AZURE,Bantamweight,9-2-0 (W-L-D),MMA
16,MIGUEL BAEZA,Welterweight,10-3-0 (W-L-D),MMA
17,MELSIK BAGHDASARYAN,Featherweight,3-0-0 (W-L-D),MMA
18,DANILO BELLUARDO,Lightweight,12-5-0 (W-L-D),MMA
19,KENNETH BERGH,Light Heavyweight,6-0-0 (W-L-D),MMA
20,JAN BŁACHOWICZ,Light Heavyweight,28-9-0 (W-L-D),MMA
21,CURTIS BLAYDES,Heavyweight,16-3-0 (W-L-D),MMA
22,DENYS BONDAR,Flyweight,16-4-0 (W-L-D),MMA
23,RAY BORG,Bantamweight,13-5-0 (W-L-D),MMA
24,CAIO BORRALHO,Middleweight,11-1-0 (W-L-D),MMA
25,POLIANA BOTELHO,Women's Flyweight,8-4-0 (W-L-D),MMA
26,RAMIZ BRAHIMAJ,Welterweight,10-4-0 (W-L-D),MMA
27,TJ BROWN,Lightweight,16-8-0 (W-L-D),MMA
28,SHANE BURGOS,Featherweight,14-3-0 (W-L-D),MMA
29,VINCE CACHERO,Bantamweight,7-4-0 (W-L-D),MMA
30,ALEKSA CAMUR,Light Heavyweight,6-2-0 (W-L-D),MMA
31,CORTNEY CASEY,Women's Flyweight,10-9-0 (W-L-D),MMA
32,JOHN CASTANEDA,Bantamweight,19-5-0 (W-L-D),MMA
33,DANNY CHAVEZ,Featherweight,11-4-1 (W-L-D),MMA
34,MACY CHIASSON,Women's Featherweight,9-2-0 (W-L-D),MMA
35,SEUNGWOO CHOI,Featherweight,10-4-0 (W-L-D),MMA
36,KATLYN CHOOKAGIAN,Women's Flyweight,17-4-0 (W-L-D),MMA
37,TRACY CORTEZ,Women's Flyweight,10-1-0 (W-L-D),MMA
38,ORION COSCE,Welterweight,7-1-0 (W-L-D),MMA
39,ALLEN CROWDER,Heavyweight,10-4-0 (W-L-D),MMA
40,JIMMY CRUTE,Light Heavyweight,12-3-0 (W-L-D),MMA
41,AALON CRUZ,Lightweight,8-4-0 (W-L-D),MMA
42,CHRIS CURTIS,Middleweight,28-8-0 (W-L-D),MMA
43,NICOLAS DALBY,Welterweight,16-3-1 (W-L-D),MMA
44,BENEIL DARIUSH,Lightweight,21-4-1 (W-L-D),MMA
45,MIKE DAVIS,Lightweight,9-2-0 (W-L-D),MMA
46,JACK DELLA MADDALENA,Welterweight,11-2-0 (W-L-D),MMA
47,ALESSIO DI CHIRICO,Middleweight,13-6-0 (W-L-D),MMA
48,ROMAN DOLIDZE,Middleweight,9-1-0 (W-L-D),MMA
49,ELIZEU DOS SANTOS,Welterweight,23-7-0 (W-L-D),MMA
50,DRICUS DU PLESSIS,Middleweight,16-2-0 (W-L-D),MMA
51,ALBERT DURAEV,Middleweight,15-3-0 (W-L-D),MMA
52,DAVID DVORAK,Flyweight,20-4-0 (W-L-D),MMA
53,LEON EDWARDS,Welterweight,19-3-0 (W-L-D),MMA
54,STEPHANIE EGGER,Women's Bantamweight,7-2-0 (W-L-D),MMA
55,CAMERON ELSE,Bantamweight,10-6-0 (W-L-D),MMA
56,SIJARA EUBANKS,Women's Flyweight,8-7-0 (W-L-D),MMA
57,URIJAH FABER,Bantamweight,35-11-0 (W-L-D),MMA
58,ZARAH FAIRN,Women's Featherweight,6-4-0 (W-L-D),MMA
